frame,total_ms,raster_ms,other_ms,flushes,tris,binned
479,18.161,17.010,1.151,2,54,4080
480,17.532,16.513,1.019,2,54,4080
481,18.059,16.987,1.071,2,54,4100
482,17.918,16.802,1.116,2,54,4100
483,17.579,16.397,1.182,2,54,4080
484,17.488,16.318,1.170,2,54,4080
485,17.622,16.459,1.164,2,54,4100
486,17.508,16.418,1.090,2,54,4100
487,17.716,16.584,1.132,2,54,4080
488,17.389,16.347,1.042,2,54,4080
489,17.459,16.435,1.024,2,54,4080
490,17.396,16.349,1.047,2,54,4080
491,17.741,16.687,1.054,2,54,4080
492,17.366,16.328,1.038,2,54,4080
493,17.552,16.533,1.018,2,54,4080
494,17.443,16.426,1.018,2,54,4080
495,17.877,16.874,1.004,2,54,4100
496,18.135,16.909,1.227,2,54,4100
497,17.514,16.441,1.073,2,54,4080
498,17.617,16.543,1.074,2,54,4080
499,18.770,17.666,1.103,2,54,4100
500,17.820,16.711,1.108,2,54,4100
501,17.505,16.365,1.141,2,54,4080
502,17.426,16.396,1.030,2,54,4080
503,17.545,16.516,1.029,2,54,4100
504,17.623,16.595,1.028,2,54,4100
505,17.521,16.380,1.141,2,54,4080
506,17.299,16.274,1.025,2,54,4080
507,17.477,16.451,1.026,2,54,4100
508,17.533,16.517,1.016,2,54,4100
509,17.378,16.336,1.041,2,54,4080
510,17.431,16.393,1.038,2,54,4080
511,18.674,17.580,1.094,2,54,4100
512,19.431,18.331,1.100,2,54,4100
513,18.973,17.879,1.093,2,54,4080
514,18.300,17.225,1.074,2,54,4080
515,18.609,17.572,1.037,2,54,4100
516,17.569,16.554,1.014,2,54,4100
517,17.596,16.543,1.053,2,54,4080
518,17.686,16.614,1.071,2,54,4080
519,18.179,17.150,1.029,2,54,4100
520,18.642,17.597,1.045,2,54,4100
521,18.410,17.358,1.051,2,54,4080
522,18.605,17.524,1.081,2,54,4080
523,17.763,16.714,1.049,2,54,4080
524,17.684,16.638,1.046,2,54,4080
525,17.483,16.401,1.082,2,54,4080
526,18.000,16.974,1.026,2,54,4080
527,17.700,16.672,1.028,2,54,4080
528,17.544,16.436,1.108,2,54,4080
529,50.292,26.387,23.906,2,1312,10856
530,34.361,28.731,5.631,2,1328,11402
531,34.175,28.558,5.617,2,1320,11372
532,34.099,28.477,5.623,2,1320,11334
533,34.536,28.851,5.685,2,1320,11338
534,34.778,28.558,6.220,2,1320,11342
535,34.026,28.401,5.625,2,1320,11334
536,34.493,28.630,5.863,2,1320,11310
537,34.340,28.439,5.901,2,1320,11310
538,34.514,28.578,5.935,2,1320,11314
539,34.038,28.431,5.607,2,1320,11310
