# cpu: sse2=1 sse41=1 avx2=1 avx512=1
frame,total_ms,raster_ms,other_ms,flushes,tris,binned,area_px,bbox_px,tw,th,m_tex,m_bilin,m_over,m_add,m_blendoth,m_atest,m_ztest,m_flat,m_linv
179,16.465,5.636,10.830,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
180,16.412,5.378,11.034,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
181,16.682,5.377,11.304,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
182,16.589,5.315,11.274,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
183,16.601,5.253,11.348,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
184,16.991,5.577,11.415,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
185,16.417,5.329,11.088,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
186,16.849,5.510,11.339,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
187,16.635,5.475,11.160,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
188,16.509,5.326,11.184,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
189,16.895,5.549,11.346,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
190,16.636,5.516,11.120,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
191,16.538,5.389,11.149,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
192,16.604,5.326,11.277,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
193,16.911,5.566,11.345,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
194,16.517,5.396,11.121,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
195,16.711,5.464,11.247,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
196,16.716,5.515,11.201,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
197,16.524,5.373,11.151,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
198,16.636,5.341,11.296,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
199,16.788,5.470,11.318,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
200,16.520,5.315,11.204,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
201,16.813,5.447,11.366,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
202,16.732,5.527,11.206,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
203,16.462,5.327,11.136,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
204,16.817,5.468,11.349,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
205,16.792,5.596,11.196,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
206,16.400,5.335,11.065,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
207,16.749,5.415,11.334,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
208,16.677,5.426,11.252,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
209,16.587,5.345,11.242,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
210,16.811,5.490,11.321,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
211,16.604,5.427,11.177,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
212,16.540,5.300,11.241,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
213,16.811,5.448,11.363,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
214,16.758,5.534,11.223,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
215,16.648,5.519,11.129,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
216,16.623,5.473,11.150,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
217,16.731,5.546,11.184,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
218,16.723,5.597,11.126,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
