frame,total_ms,raster_ms,other_ms,flushes,tris,binned,area_px,bbox_px,tw,th
306,17.496,16.209,1.287,2,54,4100,7854800,14708628,2048,1024
307,17.090,15.945,1.145,2,54,4080,7781087,14596434,2048,1024
308,16.732,15.634,1.098,2,54,4080,7781087,14596434,2048,1024
309,18.122,16.955,1.167,2,54,4100,7846931,14696550,2048,1024
310,18.259,16.986,1.273,2,54,4100,7846931,14696550,2048,1024
311,18.467,17.306,1.161,2,54,4080,7773142,14586122,2048,1024
312,17.641,16.521,1.120,2,54,4080,7773142,14586122,2048,1024
313,18.789,17.664,1.126,2,54,4100,7838910,14683206,2048,1024
314,17.930,16.840,1.090,2,54,4100,7838910,14683206,2048,1024
315,18.813,17.702,1.110,2,54,4080,7765045,14576796,2048,1024
316,17.912,16.806,1.106,2,54,4080,7765045,14576796,2048,1024
317,19.035,17.910,1.125,2,54,4100,7830736,14669698,2048,1024
318,17.500,16.360,1.140,2,54,4100,7830736,14669698,2048,1024
319,19.422,18.282,1.140,2,54,4080,7756795,14564346,2048,1024
320,17.834,16.734,1.099,2,54,4080,7756795,14564346,2048,1024
321,18.695,17.521,1.174,2,54,4100,7822411,14659034,2048,1024
322,17.943,16.684,1.258,2,54,4100,7822411,14659034,2048,1024
323,17.444,16.377,1.066,2,54,4080,7748394,14550578,2048,1024
324,17.261,16.046,1.216,2,54,4080,7748394,14550578,2048,1024
325,18.404,17.321,1.083,2,54,4100,7813933,14646356,2048,1024
326,17.603,16.502,1.102,2,54,4100,7813933,14646356,2048,1024
327,19.465,18.363,1.102,2,54,4080,7739840,14539698,2048,1024
328,17.855,16.786,1.068,2,54,4080,7739840,14539698,2048,1024
329,17.178,16.109,1.069,2,54,4080,7805303,14633534,2048,1024
330,17.291,16.228,1.063,2,54,4080,7805303,14633534,2048,1024
331,16.853,15.790,1.063,2,54,4080,7731134,14525586,2048,1024
332,16.977,15.775,1.203,2,54,4080,7731134,14525586,2048,1024
333,18.778,17.620,1.159,2,54,4080,7796522,14622438,2048,1024
334,17.111,16.070,1.041,2,54,4080,7796522,14622438,2048,1024
335,17.171,16.136,1.036,2,54,4100,7862518,14717654,2048,1024
336,17.404,16.222,1.182,2,54,4100,7862518,14717654,2048,1024
337,17.590,16.367,1.222,2,54,4080,7788881,14609518,2048,1024
338,17.454,16.326,1.128,2,54,4080,7788881,14609518,2048,1024
339,17.164,16.001,1.163,2,54,4100,7854800,14708628,2048,1024
340,16.943,15.823,1.121,2,54,4100,7854800,14708628,2048,1024
341,17.600,16.444,1.156,2,54,4080,7781087,14596434,2048,1024
342,16.963,15.850,1.114,2,54,4080,7781087,14596434,2048,1024
343,17.131,16.098,1.033,2,54,4100,7846931,14696550,2048,1024
344,17.257,16.241,1.016,2,54,4100,7846931,14696550,2048,1024
345,18.850,17.777,1.073,2,54,4080,7773142,14586122,2048,1024
346,17.667,16.614,1.054,2,54,4080,7773142,14586122,2048,1024
347,18.365,17.305,1.060,2,54,4100,7838910,14683206,2048,1024
348,17.730,16.705,1.024,2,54,4100,7838910,14683206,2048,1024
349,18.279,17.254,1.025,2,54,4080,7765045,14576796,2048,1024
350,18.075,17.038,1.037,2,54,4080,7765045,14576796,2048,1024
351,20.888,17.378,3.511,2,344,4456,7904976,14827042,2048,1024
352,16.422,14.324,2.098,2,342,3816,6266576,12267042,2048,1024
353,17.115,14.825,2.289,2,342,3796,6192635,12161690,2048,1024
354,16.758,14.706,2.052,2,342,3796,6192635,12161690,2048,1024
355,16.458,14.337,2.121,2,342,3816,6258251,12256378,2048,1024
356,16.736,14.452,2.284,2,342,3816,6258251,12256378,2048,1024
357,16.739,14.505,2.235,2,342,3796,6184234,12147922,2048,1024
358,16.396,14.234,2.162,2,342,3796,6184234,12147922,2048,1024
359,17.596,14.486,3.111,2,342,3816,6249773,12243700,2048,1024
360,17.677,14.599,3.078,2,342,3816,6249773,12243700,2048,1024
361,16.345,14.272,2.073,2,342,3796,6175680,12137042,2048,1024
362,16.502,14.086,2.416,2,342,3796,6175680,12137042,2048,1024
363,17.041,14.479,2.562,2,342,3796,6241143,12230878,2048,1024
364,17.726,15.540,2.186,2,342,3796,6241143,12230878,2048,1024
365,17.287,15.079,2.207,2,342,3796,6166974,12122930,2048,1024
366,16.221,14.033,2.188,2,342,3796,6166974,12122930,2048,1024
367,17.043,14.407,2.636,2,342,3796,6232362,12219782,2048,1024
368,16.505,14.245,2.260,2,342,3796,6232362,12219782,2048,1024
369,16.883,14.448,2.435,2,342,3816,6298358,12314998,2048,1024
370,16.593,14.397,2.196,2,342,3816,6298358,12314998,2048,1024
371,16.402,14.140,2.262,2,342,3796,6224721,12206862,2048,1024
372,16.927,14.386,2.541,2,342,3796,6224721,12206862,2048,1024
373,16.563,14.287,2.276,2,342,3816,6290640,12305972,2048,1024
374,16.815,14.409,2.405,2,342,3816,6290640,12305972,2048,1024
375,16.566,14.328,2.237,2,342,3796,6216927,12193778,2048,1024
376,16.256,14.359,1.897,2,214,3636,6184159,12121970,2048,1024
377,16.662,14.343,2.319,2,214,3656,6250003,12222086,2048,1024
378,16.575,14.267,2.308,2,214,3656,6250003,12222086,2048,1024
379,16.378,13.976,2.402,2,214,3636,6176214,12111658,2048,1024
380,16.927,14.248,2.680,2,214,3636,6176214,12111658,2048,1024
381,16.574,14.123,2.451,2,214,3656,6241982,12208742,2048,1024
382,16.926,14.392,2.533,2,214,3656,6241982,12208742,2048,1024
383,16.408,14.147,2.261,2,214,3636,6168117,12102332,2048,1024
384,16.592,14.077,2.515,2,214,3636,6168117,12102332,2048,1024
385,16.950,14.364,2.586,2,214,3656,6233808,12195234,2048,1024
386,17.205,14.911,2.293,2,214,3656,6233808,12195234,2048,1024
387,16.863,15.088,1.775,2,214,3636,6159867,12089882,2048,1024
388,15.823,14.226,1.597,2,214,3636,6159867,12089882,2048,1024
389,17.089,14.625,2.464,2,214,3656,6225483,12184570,2048,1024
390,16.239,14.221,2.018,2,214,3656,6225483,12184570,2048,1024
391,16.438,13.976,2.462,2,214,3636,6151466,12076114,2048,1024
392,16.729,14.011,2.718,2,214,3636,6151466,12076114,2048,1024
393,16.809,14.194,2.615,2,214,3656,6217005,12171892,2048,1024
394,16.664,14.176,2.487,2,214,3656,6217005,12171892,2048,1024
